restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
#FeelTheROLL,Quick Bites,Fast Food,3.4,200.0,Bellandur,Bellandur,Bangalore
#L-81 Cafe,Quick Bites,"Fast Food, Beverages",3.9,400.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
#refuel,Cafe,"Cafe, Beverages",3.7,400.0,Bannerghatta Road,Bannerghatta Road,Bangalore
'@ Biryani Central,Casual Dining,"Biryani, Mughlai, Chinese",2.7,550.0,Marathahalli,Marathahalli,Bangalore
'@ The Bbq,Casual Dining,"BBQ, Continental, North Indian, Chinese, Beverages",2.8,700.0,Bellandur,Bellandur,Bangalore
'@99,"Takeaway, Delivery","Mughlai, Biryani, Chinese, North Indian",3.4,200.0,Whitefield,Whitefield,Bangalore
'@Italy,Casual Dining,Italian,4.1,700.0,Banashankari,Kumaraswamy Layout,Bangalore
'@North Parontha Hut,"Takeaway, Delivery",North Indian,2.8,300.0,Indiranagar,Old Airport Road,Bangalore
1000 B.C,Quick Bites,"Arabian, Sandwich, Rolls, Burger",3.2,300.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,"Biryani, North Indian",3.7,450.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
11 to 11 Express Biriyanis,Quick Bites,"Biryani, Kebab",3.5,300.0,Electronic City,Electronic City,Bangalore
1131 Bar + Kitchen,"Bar, Casual Dining","Continental, Asian, Italian, North Indian",4.4,1500.0,Old Airport Road,Indiranagar,Bangalore
12th Main - Grand Mercure,Fine Dining,"European, Asian",4.1,2000.0,"Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block,Bangalore
1441 Pizzeria,Casual Dining,"Pizza, Salad",4.1,800.0,Basavanagudi,JP Nagar,Bangalore
1522 - The Pub,Pub,"Chinese, Continental, North Indian",4.2,1400.0,Malleshwaram,Malleshwaram,Bangalore
154 Breakfast Club,Cafe,"Cafe, Continental",4.0,900.0,"Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block,Bangalore
1722 Urban Bistro,Casual Dining,"North Indian, Chinese, Fast Food, Biryani",4.1,600.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
18+ Ice Cafe,Cafe,"Cafe, Fast Food, Chinese, Beverages",3.5,550.0,Kalyan Nagar,Kammanahalli,Bangalore
1947,Casual Dining,"North Indian, Chinese, Continental",3.9,1000.0,Rajajinagar,Rajajinagar,Bangalore
1980s Games Cafe,Cafe,"Cafe, Fast Food",3.4,400.0,Banashankari,Basavanagudi,Bangalore
1992 Chats - Space,Quick Bites,Street Food,3.7,200.0,Malleshwaram,Rajajinagar,Bangalore
1Q1,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",4.3,2500.0,Brigade Road,Infantry Road,Bangalore
1TO3 Kitchen,Delivery,"North Indian, Chinese, Continental, Italian, South Indian",3.1,800.0,Marathahalli,Marathahalli,Bangalore
2 Statez,Casual Dining,"Kerala, Seafood, South Indian, North Indian, Chinese",3.7,600.0,Kalyan Nagar,Kalyan Nagar,Bangalore
20 Char - Sterlings MAC Hotel,"Casual Dining, Bar","Chinese, Continental, North Indian, South Indian, Arabian",4.0,1400.0,Indiranagar,Old Airport Road,Bangalore
20 Feet High,"Casual Dining, Bar","American, Continental, Steak, Salad",4.0,1000.0,Brigade Road,Church Street,Bangalore
21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,Continental,3.6,1000.0,Basavanagudi,Jayanagar,Bangalore
24 Carats - The Capitol,Casual Dining,"Asian, Continental",3.1,1000.0,Brigade Road,Cunningham Road,Bangalore
24 Hours Cake Delivery,Delivery,Bakery,3.3,700.0,Indiranagar,Old Airport Road,Bangalore
24 Hours Coffee Drop - La Classic,Cafe,Cafe,3.4,800.0,Electronic City,Electronic City,Bangalore
24/7 - The Lalit Ashok Bangalore,Fine Dining,"Continental, North Indian, Italian, Chinese",4.0,3000.0,Malleshwaram,Seshadripuram,Bangalore
24/7 Food Service,"Takeaway, Delivery","South Indian, North Indian, Fast Food",2.9,300.0,"Byresandra,Tavarekere,Madiwala",JP Nagar,Bangalore
24@43 - The Oterra,Fine Dining,"North Indian, Asian, Continental",4.1,3000.0,Electronic City,Electronic City,Bangalore
24th Main,Casual Dining,"North Indian, South Indian, Chinese",4.1,800.0,Bannerghatta Road,JP Nagar,Bangalore
29 Degrees North,Quick Bites,"North Indian, Fast Food, Street Food",3.9,250.0,Kalyan Nagar,Banaswadi,Bangalore
2nd Home Restaurant,Quick Bites,"South Indian, North Indian, Chinese",3.7,500.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
3 Leafs,Casual Dining,"North Indian, South Indian, Chinese",3.7,600.0,Marathahalli,Kaggadasapura,Bangalore
3 Spice,Casual Dining,"North Indian, Chinese",3.9,450.0,Koramangala 7th Block,Wilson Garden,Bangalore
30 Square,Quick Bites,"Tibetan, Nepalese, Momos",4.2,400.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
360 Atoms Restaurant And Cafe,Cafe,"Cafe, Chinese, Continental, Italian",3.1,400.0,Banashankari,Banashankari,Bangalore
36th Cross Coffee Mane,Casual Dining,"North Indian, Chinese",3.7,500.0,JP Nagar,BTM,Bangalore
37 China Town,Casual Dining,"Chinese, Thai, North Indian, South Indian, Continental",3.5,900.0,Lavelle Road,Race Course Road,Bangalore
"3B's - Buddies, Bar & Barbecues","Casual Dining, Bar","North Indian, Mediterranean, European, BBQ",4.4,1100.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
3G's - Gulp & Groove,"Bar, Casual Dining","Finger Food, Continental, Chinese",4.1,1100.0,Malleshwaram,Malleshwaram,Bangalore
3rd Innings,"Casual Dining, Bar","Burger, Italian, North Indian, Chinese",3.0,1000.0,Electronic City,Electronic City,Bangalore
4 Mangoes,Kiosk,Ice Cream,3.7,200.0,Indiranagar,Old Airport Road,Bangalore
4 Seasons Restaurant,Casual Dining,"North Indian, Seafood, Middle Eastern, Chinese",3.7,1000.0,Kalyan Nagar,Kalyan Nagar,Bangalore
4 States,Food Court,South Indian,3.2,400.0,Sarjapur Road,Bellandur,Bangalore
46 Ounces Brewgarden,Microbrewery,"Bar Food, Finger Food, Pizza",2.8,1600.0,Electronic City,Electronic City,Bangalore
4700BC Popcorn,"Takeaway, Delivery",Fast Food,4.1,500.0,Whitefield,Whitefield,Bangalore
